gene	intron	contig	number	location
Vbra_scaffold747_tRNA_Ile1	0	Vbra_scaffold747_gene2	1	6558
Vbra_scaffold747_tRNA_Ala1	0	Vbra_scaffold747_gene2	2	6756
Vbra_10429	3	Vbra_scaffold757_gene3	1	996
Vbra_10430	9	Vbra_scaffold757_gene3	2	4184
Vbra_10431	45	Vbra_scaffold757_gene3	3	7447
Vbra_50	3	Vbra_scaffold758_gene2	1	969
Vbra_51	11	Vbra_scaffold758_gene2	2	8526
Vbra_829	5	Vbra_scaffold75_gene83	1	3799
Vbra_830	9	Vbra_scaffold75_gene83	2	5173
Vbra_831	7	Vbra_scaffold75_gene83	3	6994
Vbra_832	13	Vbra_scaffold75_gene83	4	10018
Vbra_833	3	Vbra_scaffold75_gene83	5	12800
Vbra_834	13	Vbra_scaffold75_gene83	6	16294
Vbra_835	15	Vbra_scaffold75_gene83	7	18719
Vbra_836	21	Vbra_scaffold75_gene83	8	21271
Vbra_837	19	Vbra_scaffold75_gene83	9	24304
Vbra_838	17	Vbra_scaffold75_gene83	10	26515
Vbra_839	43	Vbra_scaffold75_gene83	11	29800
Vbra_840	19	Vbra_scaffold75_gene83	12	33106
Vbra_841	5	Vbra_scaffold75_gene83	13	38120
Vbra_842	5	Vbra_scaffold75_gene83	14	42754
Vbra_843	31	Vbra_scaffold75_gene83	15	44877
Vbra_844	19	Vbra_scaffold75_gene83	16	47606
Vbra_845	9	Vbra_scaffold75_gene83	17	49441
Vbra_846	3	Vbra_scaffold75_gene83	18	50878
Vbra_847	5	Vbra_scaffold75_gene83	19	52740
Vbra_848	11	Vbra_scaffold75_gene83	20	54761
Vbra_849	5	Vbra_scaffold75_gene83	21	56830
Vbra_850	29	Vbra_scaffold75_gene83	22	59789
Vbra_851	51	Vbra_scaffold75_gene83	23	64054
Vbra_852	5	Vbra_scaffold75_gene83	24	67442
Vbra_853	16	Vbra_scaffold75_gene83	25	72687
Vbra_854	3	Vbra_scaffold75_gene83	26	77562
Vbra_855	3	Vbra_scaffold75_gene83	27	79777
Vbra_856	3	Vbra_scaffold75_gene83	28	80896
Vbra_857	3	Vbra_scaffold75_gene83	29	81917
Vbra_858	1	Vbra_scaffold75_gene83	30	83687
Vbra_859	19	Vbra_scaffold75_gene83	31	86074
Vbra_860	3	Vbra_scaffold75_gene83	32	89392
Vbra_861	11	Vbra_scaffold75_gene83	33	91855
Vbra_862	17	Vbra_scaffold75_gene83	34	94409
Vbra_863	13	Vbra_scaffold75_gene83	35	96854
Vbra_864	5	Vbra_scaffold75_gene83	36	98680
Vbra_865	19	Vbra_scaffold75_gene83	37	102082
Vbra_866	3	Vbra_scaffold75_gene83	38	105857
Vbra_867	17	Vbra_scaffold75_gene83	39	110647
Vbra_868	3	Vbra_scaffold75_gene83	40	113529
Vbra_869	29	Vbra_scaffold75_gene83	41	116265
Vbra_870	17	Vbra_scaffold75_gene83	42	121126
Vbra_871	5	Vbra_scaffold75_gene83	43	123523
Vbra_872	8	Vbra_scaffold75_gene83	44	124536
Vbra_873	49	Vbra_scaffold75_gene83	45	127860
Vbra_874	15	Vbra_scaffold75_gene83	46	131835
Vbra_875	5	Vbra_scaffold75_gene83	47	133366
Vbra_876	39	Vbra_scaffold75_gene83	48	136368
Vbra_877	37	Vbra_scaffold75_gene83	49	141897
Vbra_878	19	Vbra_scaffold75_gene83	50	146501
Vbra_879	12	Vbra_scaffold75_gene83	51	149327
Vbra_880	19	Vbra_scaffold75_gene83	52	152374
Vbra_881	33	Vbra_scaffold75_gene83	53	154744
Vbra_882	25	Vbra_scaffold75_gene83	54	158898
Vbra_883	11	Vbra_scaffold75_gene83	55	162790
Vbra_884	7	Vbra_scaffold75_gene83	56	165145
Vbra_885	13	Vbra_scaffold75_gene83	57	167643
Vbra_886	13	Vbra_scaffold75_gene83	58	169781
Vbra_887	13	Vbra_scaffold75_gene83	59	172781
Vbra_888	9	Vbra_scaffold75_gene83	60	175857
Vbra_889	11	Vbra_scaffold75_gene83	61	178318
Vbra_890	3	Vbra_scaffold75_gene83	62	180253
Vbra_891	27	Vbra_scaffold75_gene83	63	182066
Vbra_892	11	Vbra_scaffold75_gene83	64	184460
Vbra_893	31	Vbra_scaffold75_gene83	65	187435
Vbra_894	37	Vbra_scaffold75_gene83	66	192287
Vbra_895	9	Vbra_scaffold75_gene83	67	196238
Vbra_896	29	Vbra_scaffold75_gene83	68	199057
Vbra_897	9	Vbra_scaffold75_gene83	69	202496
Vbra_898	21	Vbra_scaffold75_gene83	70	204957
Vbra_899	21	Vbra_scaffold75_gene83	71	207022
Vbra_900	9	Vbra_scaffold75_gene83	72	210370
Vbra_901	9	Vbra_scaffold75_gene83	73	212929
Vbra_902	13	Vbra_scaffold75_gene83	74	214493
Vbra_903	16	Vbra_scaffold75_gene83	75	221048
Vbra_904	7	Vbra_scaffold75_gene83	76	222920
Vbra_905	7	Vbra_scaffold75_gene83	77	226062
Vbra_906	37	Vbra_scaffold75_gene83	78	229102
Vbra_907	1	Vbra_scaffold75_gene83	79	233484
Vbra_908	11	Vbra_scaffold75_gene83	80	235643
Vbra_909	7	Vbra_scaffold75_gene83	81	237604
Vbra_910	21	Vbra_scaffold75_gene83	82	240140
Vbra_911	13	Vbra_scaffold75_gene83	83	242988
Vbra_23236	3	Vbra_scaffold761_gene3	1	1114
Vbra_23237	3	Vbra_scaffold761_gene3	2	5413
Vbra_23238	1	Vbra_scaffold761_gene3	3	7808
Vbra_14	59	Vbra_scaffold770_gene1	1	3836
Vbra_19056	6	Vbra_scaffold77_gene71	1	1017
Vbra_19057	27	Vbra_scaffold77_gene71	2	4278
Vbra_19058	17	Vbra_scaffold77_gene71	3	8997
Vbra_19059	21	Vbra_scaffold77_gene71	4	12251
Vbra_19060	25	Vbra_scaffold77_gene71	5	14876
Vbra_19061	9	Vbra_scaffold77_gene71	6	17393
Vbra_19062	18	Vbra_scaffold77_gene71	7	20113
Vbra_19063	5	Vbra_scaffold77_gene71	8	22897
Vbra_19064	25	Vbra_scaffold77_gene71	9	25624
Vbra_19065	27	Vbra_scaffold77_gene71	10	32193
Vbra_19066	3	Vbra_scaffold77_gene71	11	37434
Vbra_19067	11	Vbra_scaffold77_gene71	12	41247
Vbra_19068	255	Vbra_scaffold77_gene71	13	56759
Vbra_19069	3	Vbra_scaffold77_gene71	14	72430
Vbra_19070	83	Vbra_scaffold77_gene71	15	78902
Vbra_19071	7	Vbra_scaffold77_gene71	16	86143
Vbra_19072	35	Vbra_scaffold77_gene71	17	90429
Vbra_19073	27	Vbra_scaffold77_gene71	18	94757
Vbra_19074	11	Vbra_scaffold77_gene71	19	97185
Vbra_19075	13	Vbra_scaffold77_gene71	20	98976
Vbra_19076	47	Vbra_scaffold77_gene71	21	102940
Vbra_19077	5	Vbra_scaffold77_gene71	22	106997
Vbra_19078	17	Vbra_scaffold77_gene71	23	109309
Vbra_19079	17	Vbra_scaffold77_gene71	24	112740
Vbra_19080	5	Vbra_scaffold77_gene71	25	115011
Vbra_19081	15	Vbra_scaffold77_gene71	26	117236
Vbra_19082	25	Vbra_scaffold77_gene71	27	119745
Vbra_19083	17	Vbra_scaffold77_gene71	28	122573
Vbra_19084	9	Vbra_scaffold77_gene71	29	124953
Vbra_19085	15	Vbra_scaffold77_gene71	30	128749
Vbra_19086	3	Vbra_scaffold77_gene71	31	132087
Vbra_19087	41	Vbra_scaffold77_gene71	32	135244
Vbra_19088	23	Vbra_scaffold77_gene71	33	139845
Vbra_19089	23	Vbra_scaffold77_gene71	34	143456
Vbra_19090	13	Vbra_scaffold77_gene71	35	146686
Vbra_19091	35	Vbra_scaffold77_gene71	36	150768
Vbra_19092	9	Vbra_scaffold77_gene71	37	154564
Vbra_19093	1	Vbra_scaffold77_gene71	38	156163
Vbra_19094	11	Vbra_scaffold77_gene71	39	157399
Vbra_19095	29	Vbra_scaffold77_gene71	40	159438
Vbra_19096	13	Vbra_scaffold77_gene71	41	162576
Vbra_19097	49	Vbra_scaffold77_gene71	42	166346
Vbra_19098	11	Vbra_scaffold77_gene71	43	170071
Vbra_19099	9	Vbra_scaffold77_gene71	44	172558
Vbra_19100	17	Vbra_scaffold77_gene71	45	175028
Vbra_19101	3	Vbra_scaffold77_gene71	46	177218
Vbra_19102	3	Vbra_scaffold77_gene71	47	178668
Vbra_19103	11	Vbra_scaffold77_gene71	48	179898
Vbra_19104	21	Vbra_scaffold77_gene71	49	182446
Vbra_19105	17	Vbra_scaffold77_gene71	50	186081
Vbra_19106	21	Vbra_scaffold77_gene71	51	189686
Vbra_19107	19	Vbra_scaffold77_gene71	52	193882
Vbra_19108	19	Vbra_scaffold77_gene71	53	197586
Vbra_19109	11	Vbra_scaffold77_gene71	54	202145
Vbra_19110	5	Vbra_scaffold77_gene71	55	203618
Vbra_19111	25	Vbra_scaffold77_gene71	56	205226
Vbra_19112	19	Vbra_scaffold77_gene71	57	207982
Vbra_19113	5	Vbra_scaffold77_gene71	58	210215
Vbra_19114	4	Vbra_scaffold77_gene71	59	211238
Vbra_19115	1	Vbra_scaffold77_gene71	60	213026
Vbra_19116	9	Vbra_scaffold77_gene71	61	215493
Vbra_19117	27	Vbra_scaffold77_gene71	62	218548
Vbra_19118	33	Vbra_scaffold77_gene71	63	224359
Vbra_19119	13	Vbra_scaffold77_gene71	64	229255
Vbra_19120	25	Vbra_scaffold77_gene71	65	231347
Vbra_19121	1	Vbra_scaffold77_gene71	66	232886
Vbra_19122	5	Vbra_scaffold77_gene71	67	234379
Vbra_19123	17	Vbra_scaffold77_gene71	68	235809
Vbra_19124	11	Vbra_scaffold77_gene71	69	237538
Vbra_19125	17	Vbra_scaffold77_gene71	70	240256
Vbra_19126	7	Vbra_scaffold77_gene71	71	242833
Vbra_23040	7	Vbra_scaffold791_gene1	1	6376
Vbra_22877	7	Vbra_scaffold792_gene2	1	1830
Vbra_22878	15	Vbra_scaffold792_gene2	2	4820
Vbra_23041	47	Vbra_scaffold800_gene2	1	4825
Vbra_23042	17	Vbra_scaffold800_gene2	2	10692
Vbra_483	23	Vbra_scaffold802_gene1	1	4852
Vbra_675	19	Vbra_scaffold804_gene2	1	2305
Vbra_676	3	Vbra_scaffold804_gene2	2	10444
Vbra_340	5	Vbra_scaffold805_gene2	1	296
Vbra_341	7	Vbra_scaffold805_gene2	2	5303
Vbra_571	13	Vbra_scaffold807_gene2	1	3800
Vbra_572	7	Vbra_scaffold807_gene2	2	5858
Vbra_23324	3	Vbra_scaffold810_gene2	1	9761
Vbra_23325	3	Vbra_scaffold810_gene2	2	11006
Vbra_22423	25	Vbra_scaffold813_gene3	1	3500
Vbra_22424	7	Vbra_scaffold813_gene3	2	7433
Vbra_22425	19	Vbra_scaffold813_gene3	3	9825
Vbra_539	5	Vbra_scaffold814_gene3	1	2246
Vbra_540	1	Vbra_scaffold814_gene3	2	5783
Vbra_541	7	Vbra_scaffold814_gene3	3	9479
Vbra_4638	3	Vbra_scaffold815_gene3	1	288
Vbra_4639	5	Vbra_scaffold815_gene3	2	1353
Vbra_4640	47	Vbra_scaffold815_gene3	3	6709
Vbra_23346	1	Vbra_scaffold818_gene3	1	1883
Vbra_23347	1	Vbra_scaffold818_gene3	2	2884
Vbra_23348	3	Vbra_scaffold818_gene3	3	8975
Vbra_23328	11	Vbra_scaffold863_gene2	1	1153
Vbra_23329	1	Vbra_scaffold863_gene2	2	6531
Vbra_23313	63	Vbra_scaffold864_gene1	1	4002
Vbra_3502	9	Vbra_scaffold865_gene2	1	2070
Vbra_3503	37	Vbra_scaffold865_gene2	2	4967
Vbra_22436	19	Vbra_scaffold866_gene2	1	2614
Vbra_22437	17	Vbra_scaffold866_gene2	2	6394
Vbra_23172	1	Vbra_scaffold868_gene3	1	1825
Vbra_23173	5	Vbra_scaffold868_gene3	2	4415
Vbra_23174	3	Vbra_scaffold868_gene3	3	6810
Vbra_141	21	Vbra_scaffold869_gene2	1	2886
Vbra_142	5	Vbra_scaffold869_gene2	2	4766
Vbra_10517	37	Vbra_scaffold870_gene3	1	2438
Vbra_10518	17	Vbra_scaffold870_gene3	2	5575
Vbra_10519	5	Vbra_scaffold870_gene3	3	7469
Vbra_4649	7	Vbra_scaffold914_gene3	1	1186
Vbra_4650	13	Vbra_scaffold914_gene3	2	3013
Vbra_4651	1	Vbra_scaffold914_gene3	3	5296
Vbra_23111	11	Vbra_scaffold915_gene3	1	1106
Vbra_23112	6	Vbra_scaffold915_gene3	2	4159
Vbra_23113	5	Vbra_scaffold915_gene3	3	5911
Vbra_22451	5	Vbra_scaffold916_gene3	1	1717
Vbra_22452	3	Vbra_scaffold916_gene3	2	3889
Vbra_22453	11	Vbra_scaffold916_gene3	3	5620
Vbra_125	7	Vbra_scaffold917_gene1	1	3191
Vbra_23368	3	Vbra_scaffold920_gene1	1	2344
Vbra_1635	1	Vbra_scaffold922_gene2	1	906
Vbra_1636	9	Vbra_scaffold922_gene2	2	3073
Vbra_10607	31	Vbra_scaffold923_gene1	1	1527
Vbra_10681	29	Vbra_scaffold939_gene3	1	1457
Vbra_10682	7	Vbra_scaffold939_gene3	2	4205
Vbra_10683	9	Vbra_scaffold939_gene3	3	5270
Vbra_1101	5	Vbra_scaffold942_gene1	1	4649
Vbra_10684	31	Vbra_scaffold95_gene72	1	1638
Vbra_10685	13	Vbra_scaffold95_gene72	2	4672
Vbra_10686	1	Vbra_scaffold95_gene72	3	6794
Vbra_10687	7	Vbra_scaffold95_gene72	4	8485
Vbra_10688	5	Vbra_scaffold95_gene72	5	10357
Vbra_10689	9	Vbra_scaffold95_gene72	6	12356
Vbra_10690	1	Vbra_scaffold95_gene72	7	14301
Vbra_10691	5	Vbra_scaffold95_gene72	8	15298
Vbra_10692	37	Vbra_scaffold95_gene72	9	18783
Vbra_10693	15	Vbra_scaffold95_gene72	10	23072
Vbra_10694	1	Vbra_scaffold95_gene72	11	25483
Vbra_10695	3	Vbra_scaffold95_gene72	12	26756
Vbra_10696	9	Vbra_scaffold95_gene72	13	28644
Vbra_10697	15	Vbra_scaffold95_gene72	14	30994
Vbra_10698	7	Vbra_scaffold95_gene72	15	32737
Vbra_10699	23	Vbra_scaffold95_gene72	16	34914
Vbra_10700	29	Vbra_scaffold95_gene72	17	40169
Vbra_10701	9	Vbra_scaffold95_gene72	18	43796
Vbra_10702	9	Vbra_scaffold95_gene72	19	45941
Vbra_10703	13	Vbra_scaffold95_gene72	20	52478
Vbra_10704	5	Vbra_scaffold95_gene72	21	54424
Vbra_10705	37	Vbra_scaffold95_gene72	22	56883
Vbra_10706	13	Vbra_scaffold95_gene72	23	59674
Vbra_10707	9	Vbra_scaffold95_gene72	24	61776
Vbra_10708	37	Vbra_scaffold95_gene72	25	67856
Vbra_10709	7	Vbra_scaffold95_gene72	26	73620
Vbra_10710	13	Vbra_scaffold95_gene72	27	77169
Vbra_10711	15	Vbra_scaffold95_gene72	28	81472
Vbra_10712	5	Vbra_scaffold95_gene72	29	84007
Vbra_10713	11	Vbra_scaffold95_gene72	30	85568
Vbra_10714	7	Vbra_scaffold95_gene72	31	86413
Vbra_10715	21	Vbra_scaffold95_gene72	32	88000
Vbra_10716	23	Vbra_scaffold95_gene72	33	91391
Vbra_10717	19	Vbra_scaffold95_gene72	34	95134
Vbra_10718	21	Vbra_scaffold95_gene72	35	97701
Vbra_10719	63	Vbra_scaffold95_gene72	36	103883
Vbra_10720	1	Vbra_scaffold95_gene72	37	109813
Vbra_10721	25	Vbra_scaffold95_gene72	38	111923
Vbra_10722	37	Vbra_scaffold95_gene72	39	118014
Vbra_10723	9	Vbra_scaffold95_gene72	40	123853
Vbra_10724	7	Vbra_scaffold95_gene72	41	125765
Vbra_10725	5	Vbra_scaffold95_gene72	42	126882
Vbra_10726	15	Vbra_scaffold95_gene72	43	128702
Vbra_10727	11	Vbra_scaffold95_gene72	44	131645
Vbra_10728	9	Vbra_scaffold95_gene72	45	133657
